LowEntropy
Actor Topology:,Layer 0,Neurons-85, Activation-LINEAR,Layer 1,Neurons-170, Activation-RELU,Layer 2,Neurons-170, Activation-RELU,Layer 3,Neurons-32, Activation-SOFTMAX,
Actor Learning Rate:,0.0005
Optimizer Type:,Momentum
Momentum Coeff:,0.95
Entropy Coeff:,0.004
Baseline Type:,Critic Network
Critic Topology:,Layer 0,Neurons-85, Activation-LINEAR,Layer 1,Neurons-85, Activation-RELU,Layer 2,Neurons-1, Activation-LINEAR,
Critic Learning Rate:,0.015
Critic Optimizer Type:,SDG

Workers:,8, Batch Size:,32


Batches,Hands,TotalAvgScore,RecentAvgScore,RecentAvgEntropy,GlobalWeightNorm,GlobalGradientNorm,Layer1WeightNorm,Layer2WeightNorm,Layer3WeightNorm,Layer1GradientNorm,Layer2GradientNorm,Layer3GradientNorm,
2000,64000,0.341234,0.341234,3.46744,11.1162,0.180469,7.51724,7.50984,3.26556,0.0644899,0.0950543,0.139193,
4000,128000,0.339109,0.336984,3.46673,11.1164,0.206008,7.51706,7.50983,3.26643,0.0739742,0.108984,0.158397,
6000,192000,0.339938,0.341594,3.4662,11.1161,0.211524,7.51664,7.50962,3.26694,0.0787856,0.115402,0.158801,
8000,256000,0.33984,0.339547,3.4657,11.117,0.205148,7.51706,7.51014,3.26782,0.0693339,0.105476,0.16172,
10000,320000,0.339266,0.336969,3.46573,11.1183,0.266678,7.5175,7.51074,3.27007,0.0916425,0.134033,0.211551,
12000,384000,0.338591,0.335219,3.46528,11.1194,0.21785,7.51778,7.51118,3.27194,0.0813338,0.122195,0.160972,
14000,448000,0.338357,0.336953,3.46521,11.1208,0.318877,7.51838,7.51194,3.27381,0.113131,0.181396,0.2366,
16000,512000,0.337828,0.334125,3.46516,11.1228,0.200777,7.51917,7.51291,3.27639,0.0682992,0.102077,0.15883,
18000,576000,0.337797,0.337547,3.46503,11.1243,0.314564,7.5198,7.51367,3.27816,0.112421,0.175072,0.235927,
20000,640000,0.33803,0.340125,3.46495,11.1254,0.191929,7.51999,7.51408,3.28054,0.0620112,0.104357,0.148664,
22000,704000,0.338207,0.339984,3.46475,11.1272,0.130255,7.52055,7.5149,3.28373,0.052147,0.0706851,0.0961803,
24000,768000,0.338358,0.340016,3.46465,11.1286,0.186383,7.5212,7.51564,3.28535,0.0694117,0.0952345,0.144399,
26000,832000,0.338541,0.340734,3.46454,11.1308,0.550493,7.52212,7.51669,3.28812,0.182805,0.259055,0.450017,
28000,896000,0.338279,0.334875,3.46425,11.1339,0.156486,7.52334,7.51815,3.29233,0.0568102,0.086042,0.117717,
30000,960000,0.338133,0.336094,3.46167,11.138,0.278736,7.5248,7.51998,3.29875,0.0910017,0.144405,0.220362,
32000,1024000,0.337909,0.334547,3.46148,11.1397,0.156107,7.5256,7.52093,3.30051,0.0550098,0.0861814,0.117966,
34000,1088000,0.337913,0.337969,3.46125,11.1412,0.252055,7.52639,7.5218,3.30188,0.0779792,0.129184,0.201897,
36000,1152000,0.337595,0.332188,3.45917,11.1455,0.242668,7.52799,7.52373,3.30833,0.0842492,0.127854,0.188264,
38000,1216000,0.338084,0.346891,3.45766,11.1508,0.32118,7.53008,7.52618,3.31597,0.121084,0.169414,0.244528,
40000,1280000,0.337825,0.332906,3.45712,11.152,0.204673,7.53071,7.52691,3.31682,0.0771207,0.109096,0.155053,
42000,1344000,0.338235,0.346438,3.45762,11.1547,0.360018,7.53201,7.52838,3.31969,0.130775,0.20539,0.26519,
44000,1408000,0.338257,0.338719,3.45737,11.1599,0.356622,7.53429,7.53095,3.32612,0.105028,0.172266,0.294063,
46000,1472000,0.338459,0.342891,3.45697,11.1628,0.359805,7.53571,7.53251,3.32903,0.143424,0.19485,0.266313,
48000,1536000,0.33828,0.334172,3.45679,11.1678,0.182751,7.53786,7.53494,3.33537,0.0673472,0.0982751,0.138579,
50000,1600000,0.338189,0.336,3.45609,11.1723,0.159076,7.53966,7.53704,3.34151,0.051334,0.0827826,0.125766,
52000,1664000,0.338113,0.336219,3.45502,11.1799,0.158363,7.54271,7.54059,3.35213,0.0549561,0.0824037,0.123565,
54000,1728000,0.338256,0.341969,3.45398,11.1832,1.24481,7.5443,7.54226,3.356,0.470581,0.664951,0.941249,
56000,1792000,0.33826,0.338375,3.45471,11.1878,0.234374,7.54645,7.54457,3.36125,0.0858227,0.128275,0.176384,
58000,1856000,0.338265,0.338391,3.45386,11.1956,0.182201,7.54969,7.54829,3.37144,0.0547423,0.0939269,0.146212,
60000,1920000,0.338322,0.34,3.45406,11.203,0.135784,7.55284,7.55182,3.38117,0.0513677,0.0747659,0.101039,
62000,1984000,0.338317,0.338141,3.4525,11.213,0.202534,7.55697,7.55658,3.39443,0.0719959,0.106975,0.156183,
64000,2048000,0.338278,0.337094,3.45181,11.2195,0.396519,7.56018,7.55997,3.40129,0.147726,0.19115,0.31443,
66000,2112000,0.338183,0.335125,3.45251,11.2267,0.285784,7.56314,7.56333,3.41079,0.111247,0.154101,0.213422,
68000,2176000,0.338164,0.337531,3.45153,11.2338,0.16185,7.56637,7.56685,3.41915,0.0647238,0.0872578,0.119968,
70000,2240000,0.338243,0.340937,3.45008,11.245,0.374522,7.57106,7.57214,3.43399,0.157175,0.190178,0.281771,
72000,2304000,0.338347,0.341984,3.44553,11.2576,0.265097,7.57699,7.57834,3.44842,0.101977,0.140784,0.200143,
74000,2368000,0.338408,0.340609,3.44333,11.2683,0.255864,7.58179,7.58356,3.4612,0.099316,0.131899,0.195462,
76000,2432000,0.338535,0.343234,3.44208,11.2761,0.751833,7.58584,7.58759,3.46909,0.262335,0.397546,0.581713,
78000,2496000,0.338656,0.34325,3.44112,11.2906,0.225345,7.59256,7.59485,3.48553,0.0779989,0.114367,0.177811,
80000,2560000,0.338771,0.34325,3.43866,11.3035,1.1254,7.59852,7.6012,3.5004,0.380807,0.563491,0.896653,
82000,2624000,0.338782,0.33925,3.43616,11.3187,0.164915,7.60544,7.6085,3.5186,0.0688519,0.0865906,0.122305,
84000,2688000,0.338669,0.334031,3.43205,11.3325,0.376212,7.61217,7.61541,3.53345,0.144118,0.209386,0.27735,
86000,2752000,0.338622,0.336656,3.43151,11.3477,0.365507,7.61953,7.62293,3.55015,0.143036,0.193272,0.275286,
88000,2816000,0.338566,0.336156,3.42969,11.3683,0.2684,7.62906,7.63306,3.57392,0.117312,0.135186,0.200003,
90000,2880000,0.338632,0.341516,3.42118,11.3874,0.664716,7.63846,7.64257,3.59411,0.246778,0.31283,0.532058,
92000,2944000,0.338656,0.33975,3.42267,11.407,0.529319,7.64842,7.65256,3.61383,0.24758,0.268069,0.383434,
94000,3008000,0.338795,0.345172,3.41276,11.4351,0.358227,7.6616,7.66631,3.64533,0.132044,0.192224,0.271921,
96000,3072000,0.338819,0.339953,3.40478,11.4592,0.782913,7.67356,7.67828,3.67069,0.32736,0.406315,0.583692,
