VeryHighEntropy
Actor Topology:,Layer 0,Neurons-85, Activation-LINEAR,Layer 1,Neurons-170, Activation-RELU,Layer 2,Neurons-170, Activation-RELU,Layer 3,Neurons-32, Activation-SOFTMAX,
Actor Learning Rate:,0.0005
Optimizer Type:,Momentum
Momentum Coeff:,0.95
Entropy Coeff:,0.1
Baseline Type:,Critic Network
Critic Topology:,Layer 0,Neurons-85, Activation-LINEAR,Layer 1,Neurons-85, Activation-RELU,Layer 2,Neurons-1, Activation-LINEAR,
Critic Learning Rate:,0.015
Critic Optimizer Type:,SDG

Workers:,8, Batch Size:,32
Training Time:,8516.9s 

Batches,Hands,TotalAvgScore,RecentAvgScore,RecentAvgEntropy,GlobalWeightNorm,GlobalGradientNorm,Layer1WeightNorm,Layer2WeightNorm,Layer3WeightNorm,Layer1GradientNorm,Layer2GradientNorm,Layer3GradientNorm,
2000,64000,0.336094,0.336094,3.46704,11.1362,0.254712,7.56523,7.51558,3.20898,0.082425,0.127029,0.204812,
4000,128000,0.336969,0.337844,3.46644,11.1368,0.211461,7.56538,7.51585,3.21006,0.0718981,0.114205,0.1628,
6000,192000,0.336302,0.334969,3.46676,11.1356,0.232151,7.56472,7.51529,3.20901,0.0855748,0.124057,0.176582,
8000,256000,0.33716,0.339734,3.46642,11.1354,0.13014,7.56438,7.51508,3.20939,0.0436413,0.0664105,0.10306,
10000,320000,0.336625,0.334484,3.4659,11.1355,0.178438,7.56429,7.5151,3.20999,0.0649742,0.0959965,0.135658,
12000,384000,0.337193,0.340031,3.46577,11.1358,0.336279,7.56435,7.51529,3.21053,0.0982357,0.166988,0.27486,
14000,448000,0.338158,0.343953,3.46546,11.137,0.206621,7.56472,7.51582,3.21239,0.0695564,0.108151,0.161732,
16000,512000,0.33759,0.333609,3.46531,11.1373,0.256731,7.56475,7.51596,3.21311,0.0867548,0.131031,0.203016,
18000,576000,0.338168,0.342797,3.46525,11.1382,0.15589,7.56493,7.51631,3.21488,0.0519326,0.0803267,0.123095,
20000,640000,0.338341,0.339891,3.46524,11.1389,0.285328,7.56534,7.5168,3.21527,0.111201,0.152472,0.214006,
22000,704000,0.337955,0.334094,3.46524,11.1403,0.344006,7.56591,7.51753,3.21712,0.116012,0.177722,0.270733,
24000,768000,0.337885,0.337125,3.46521,11.1409,0.181581,7.56608,7.51789,3.21807,0.0530322,0.0933547,0.146438,
26000,832000,0.337738,0.335969,3.46529,11.1408,0.361284,7.56606,7.51799,3.21752,0.0958972,0.176824,0.300106,
28000,896000,0.337595,0.335734,3.46544,11.1413,0.375352,7.56632,7.51834,3.21771,0.144987,0.193077,0.287384,
30000,960000,0.337711,0.339344,3.46604,11.1422,0.292015,7.5668,7.51895,3.21831,0.0822338,0.139498,0.243004,
32000,1024000,0.33783,0.339609,3.46664,11.1447,0.129135,7.56785,7.52019,3.22144,0.0441591,0.0677441,0.100681,
34000,1088000,0.337757,0.336594,3.46581,11.1458,0.196353,7.56832,7.5208,3.22287,0.073683,0.107212,0.147075,
36000,1152000,0.338016,0.342406,3.46608,11.1479,0.25218,7.56913,7.52181,3.22575,0.0681029,0.126997,0.206951,
38000,1216000,0.33822,0.341906,3.46591,11.1491,0.233988,7.5697,7.52252,3.22699,0.0813706,0.123917,0.181035,
40000,1280000,0.338132,0.336453,3.46555,11.1521,0.291774,7.57115,7.52407,3.23042,0.111785,0.151604,0.222828,
42000,1344000,0.338016,0.335687,3.46567,11.1549,0.183676,7.57241,7.52553,3.23364,0.0638463,0.0956387,0.143226,
44000,1408000,0.338031,0.338344,3.46534,11.1574,0.165713,7.57357,7.52684,3.23667,0.0548016,0.0898023,0.128036,
46000,1472000,0.33814,0.340547,3.46532,11.159,0.135752,7.5743,7.52771,3.23845,0.0468452,0.0704079,0.106192,
48000,1536000,0.338156,0.338531,3.46594,11.1615,1.13066,7.57545,7.52897,3.24118,0.374384,0.641987,0.852105,
50000,1600000,0.338293,0.341563,3.4659,11.1639,0.233414,7.57634,7.53007,3.24484,0.0836287,0.122768,0.180045,
52000,1664000,0.33834,0.339516,3.46583,11.1678,0.179623,7.57825,7.53219,3.24909,0.0610183,0.0933908,0.140781,
54000,1728000,0.338361,0.338922,3.46557,11.1697,0.120558,7.57904,7.53313,3.25159,0.0455736,0.0641188,0.0913565,
56000,1792000,0.338416,0.339891,3.46601,11.1721,0.254348,7.58002,7.53431,3.25467,0.0865002,0.127309,0.202493,
58000,1856000,0.338529,0.341688,3.4656,11.1754,0.219978,7.58147,7.53594,3.25888,0.0799159,0.111858,0.171731,
60000,1920000,0.338675,0.342922,3.46545,11.1797,0.125357,7.58344,7.53805,3.26406,0.0457898,0.063154,0.0981284,
62000,1984000,0.338833,0.343578,3.46585,11.1841,0.143132,7.58554,7.54031,3.26919,0.0599397,0.0755001,0.1058,
64000,2048000,0.339044,0.345578,3.46572,11.1885,0.179539,7.58728,7.54225,3.27558,0.0650627,0.0967557,0.136526,
66000,2112000,0.339071,0.339953,3.46533,11.1925,0.409065,7.58935,7.5444,3.27973,0.133085,0.221441,0.317154,
68000,2176000,0.338977,0.335844,3.46542,11.1985,0.197751,7.59208,7.54743,3.28686,0.0670334,0.110069,0.149989,
70000,2240000,0.338917,0.336891,3.46518,11.2035,0.257129,7.59448,7.54993,3.29237,0.0976895,0.142244,0.190627,
72000,2304000,0.338769,0.333578,3.4652,11.2096,0.431248,7.59737,7.55306,3.29952,0.161352,0.245169,0.315962,
74000,2368000,0.338815,0.340469,3.4651,11.2162,0.186754,7.60028,7.55628,3.30775,0.0735172,0.103652,0.136852,
76000,2432000,0.338714,0.334984,3.46507,11.2206,0.196014,7.60242,7.55859,3.31268,0.0772557,0.104524,0.146723,
78000,2496000,0.338795,0.341875,3.46518,11.2288,0.614211,7.60604,7.56264,3.32261,0.235293,0.33766,0.455937,
80000,2560000,0.338855,0.341203,3.46509,11.2361,0.234146,7.60941,7.56633,3.3312,0.0907752,0.130296,0.172068,
82000,2624000,0.338942,0.342422,3.46502,11.2435,0.275203,7.61283,7.57011,3.33975,0.108468,0.143306,0.208411,
84000,2688000,0.33887,0.335922,3.46507,11.2506,0.26858,7.61621,7.57365,3.34805,0.108763,0.146483,0.197101,
86000,2752000,0.338743,0.333391,3.46509,11.2593,0.710395,7.62023,7.57806,3.35821,0.279416,0.380687,0.530722,
88000,2816000,0.338573,0.331281,3.46504,11.2695,0.423441,7.62521,7.58324,3.36918,0.166684,0.222541,0.319366,
90000,2880000,0.3386,0.339797,3.46492,11.2785,0.27528,7.62948,7.58775,3.37946,0.114457,0.142852,0.205602,
92000,2944000,0.338523,0.335063,3.4649,11.2878,0.434952,7.63386,7.59235,3.3905,0.18259,0.237697,0.315189,
94000,3008000,0.338612,0.342703,3.4648,11.2997,0.220612,7.63951,7.5984,3.40361,0.0945214,0.120636,0.15869,
