MedEntropy
Actor Topology:,Layer 0,Neurons-85, Activation-LINEAR,Layer 1,Neurons-170, Activation-RELU,Layer 2,Neurons-170, Activation-RELU,Layer 3,Neurons-32, Activation-SOFTMAX,
Actor Learning Rate:,0.0005
Optimizer Type:,Momentum
Momentum Coeff:,0.95
Entropy Coeff:,0.01
Baseline Type:,Critic Network
Critic Topology:,Layer 0,Neurons-85, Activation-LINEAR,Layer 1,Neurons-85, Activation-RELU,Layer 2,Neurons-1, Activation-LINEAR,
Critic Learning Rate:,0.015
Critic Optimizer Type:,SDG

Workers:,8, Batch Size:,32


Batches,Hands,TotalAvgScore,RecentAvgScore,RecentAvgEntropy,GlobalWeightNorm,GlobalGradientNorm,Layer1WeightNorm,Layer2WeightNorm,Layer3WeightNorm,Layer1GradientNorm,Layer2GradientNorm,Layer3GradientNorm,
88000,2816000,0.337794,0.337703,3.45429,11.3097,0.22176,7.59758,7.61589,3.49056,0.0840053,0.111527,0.172286,
90000,2880000,0.33782,0.338984,3.45334,11.3254,0.692345,7.60468,7.62367,3.50893,0.255912,0.375942,0.522033,
92000,2944000,0.337981,0.345234,3.45192,11.3403,0.401816,7.61183,7.63117,3.52519,0.180628,0.217363,0.285627,
94000,3008000,0.337969,0.337422,3.45245,11.3528,0.161885,7.61825,7.63768,3.53754,0.0725795,0.0821886,0.119097,
96000,3072000,0.337976,0.338266,3.45274,11.3652,0.334996,7.6243,7.64394,3.55089,0.16671,0.180961,0.227341,
98000,3136000,0.338095,0.343812,3.45287,11.3844,0.389999,7.63318,7.6534,3.57279,0.169735,0.21502,0.277589,
100000,3200000,0.338101,0.338422,3.4516,11.4047,0.291297,7.64227,7.6632,3.59693,0.117188,0.150948,0.219853,
102000,3264000,0.338154,0.340797,3.44881,11.4242,0.764767,7.65174,7.6732,3.61722,0.367082,0.403148,0.536275,
104000,3328000,0.338112,0.335984,3.44734,11.4456,0.261011,7.66177,7.68373,3.64142,0.105603,0.139693,0.193547,
106000,3392000,0.338052,0.334906,3.44576,11.4713,0.212234,7.67398,7.69647,3.66937,0.106571,0.116668,0.141685,
108000,3456000,0.338084,0.339766,3.4416,11.504,0.32986,7.68944,7.71284,3.7051,0.134885,0.164435,0.25214,
110000,3520000,0.338145,0.341437,3.43965,11.5312,0.33098,7.70339,7.72661,3.73162,0.136245,0.16853,0.250165,
112000,3584000,0.338284,0.345937,3.4402,11.5663,0.234506,7.72058,7.74427,3.76804,0.10061,0.116073,0.177195,
114000,3648000,0.338451,0.347797,3.43544,11.6023,0.228958,7.73823,7.7623,3.80511,0.108096,0.117456,0.164138,
116000,3712000,0.338574,0.345578,3.43113,11.6496,0.348792,7.76126,7.78632,3.85353,0.160895,0.17317,0.256478,
118000,3776000,0.338714,0.346875,3.425,11.6988,0.488363,7.78531,7.81095,3.90393,0.262042,0.231735,0.340781,
120000,3840000,0.338909,0.350391,3.41486,11.7565,0.370703,7.81345,7.83948,3.96319,0.180237,0.184727,0.266104,
122000,3904000,0.339112,0.351312,3.4137,11.8078,0.675397,7.83916,7.86516,4.01379,0.327951,0.350499,0.475142,
124000,3968000,0.339296,0.3505,3.40659,11.8702,0.408569,7.87009,7.89639,4.07564,0.182379,0.199068,0.306657,
126000,4032000,0.339528,0.353922,3.36826,11.9708,0.435493,7.91897,7.94664,4.17613,0.217157,0.203047,0.318229,
128000,4096000,0.339849,0.360047,3.31256,12.0847,0.572424,7.97515,8.00353,4.28724,0.343415,0.270747,0.369365,
130000,4160000,0.340286,0.368266,3.19776,12.2151,0.747522,8.04032,8.06881,4.411,0.341688,0.364409,0.556098,
132000,4224000,0.340854,0.377781,2.82914,12.3631,0.630166,8.11489,8.14252,4.5491,0.321714,0.278131,0.465029,
134000,4288000,0.341533,0.386328,2.60931,12.4866,0.610499,8.17986,8.20366,4.6588,0.465313,0.238686,0.314995,
136000,4352000,0.342324,0.395359,2.68492,12.6427,1.04903,8.26159,8.28168,4.79547,0.80951,0.423687,0.515409,
138000,4416000,0.343123,0.397438,2.58212,12.7721,1.03004,8.33035,8.34585,4.90703,0.814622,0.348828,0.52506,
140000,4480000,0.344002,0.404656,2.5759,12.9286,0.861755,8.41265,8.42385,5.04128,0.652133,0.353019,0.439002,
142000,4544000,0.345043,0.417922,2.43925,13.1297,1.36227,8.51696,8.52507,5.21271,0.957645,0.633547,0.733013,
144000,4608000,0.346079,0.419641,2.25049,13.3185,1.24812,8.61703,8.61972,5.36922,0.622144,0.539831,0.937719,
146000,4672000,0.347297,0.435,2.16982,13.4891,0.781645,8.70784,8.70516,5.50894,0.541123,0.371403,0.424516,
148000,4736000,0.348586,0.442688,2.06424,13.7016,0.696958,8.82126,8.81165,5.68101,0.52663,0.243634,0.386074,
150000,4800000,0.349971,0.452422,1.9578,13.8961,0.756217,8.92618,8.90902,5.83559,0.48952,0.332025,0.471163,
152000,4864000,0.351545,0.469594,1.83141,14.1118,1.41457,9.04226,9.01749,6.00544,0.940707,0.622326,0.853693,
154000,4928000,0.353122,0.472984,1.589,14.3346,0.905687,9.16209,9.13044,6.17842,0.588573,0.350663,0.592357,
156000,4992000,0.354935,0.494563,1.5523,14.5293,1.69803,9.26776,9.22812,6.32848,1.17558,0.68851,1.01355,
158000,5056000,0.356762,0.499266,1.44672,14.781,2.25173,9.40229,9.35663,6.5213,1.41014,0.711524,1.60484,
160000,5120000,0.358711,0.512641,1.24129,15.0155,0.862469,9.5288,9.47579,6.69904,0.430578,0.268179,0.697521,
162000,5184000,0.360662,0.516734,1.09714,15.2314,1.21239,9.64442,9.58637,6.86172,0.789883,0.504685,0.768937,
164000,5248000,0.362687,0.526734,1.03028,15.4302,0.581855,9.7517,9.68725,7.01091,0.454301,0.208585,0.297754,
166000,5312000,0.364823,0.539969,0.922059,15.6145,0.876877,9.85115,9.78129,7.14803,0.592929,0.321586,0.560296,
