NoEntropy
Actor Topology:,Layer 0,Neurons-85, Activation-LINEAR,Layer 1,Neurons-170, Activation-RELU,Layer 2,Neurons-170, Activation-RELU,Layer 3,Neurons-32, Activation-SOFTMAX,
Actor Learning Rate:,0.0005
Optimizer Type:,Momentum
Momentum Coeff:,0.95
Entropy Coeff:,0
Baseline Type:,Critic Network
Critic Topology:,Layer 0,Neurons-85, Activation-LINEAR,Layer 1,Neurons-85, Activation-RELU,Layer 2,Neurons-1, Activation-LINEAR,
Critic Learning Rate:,0.015
Critic Optimizer Type:,SDG

Workers:,8, Batch Size:,32


Batches,Hands,TotalAvgScore,RecentAvgScore,RecentAvgEntropy,GlobalWeightNorm,GlobalGradientNorm,Layer1WeightNorm,Layer2WeightNorm,Layer3WeightNorm,Layer1GradientNorm,Layer2GradientNorm,Layer3GradientNorm,
2000,64000,0.338766,0.338766,3.46739,11.1133,0.115938,7.50776,7.52326,3.24644,0.0449907,0.0640735,0.0855107,
4000,128000,0.338922,0.339078,3.46705,11.1144,0.339646,7.50809,7.52372,3.24826,0.120539,0.186962,0.256661,
6000,192000,0.338656,0.338125,3.46611,11.116,0.132367,7.50871,7.52445,3.25076,0.0443527,0.0682286,0.104398,
8000,256000,0.339285,0.341172,3.46564,11.1155,0.304697,7.50842,7.52427,3.25004,0.113789,0.155652,0.235934,
10000,320000,0.338775,0.336734,3.46565,11.1168,0.199191,7.50888,7.52485,3.25213,0.0717574,0.104206,0.153847,
12000,384000,0.33969,0.344266,3.46529,11.1177,0.170379,7.50908,7.52517,3.25398,0.0606915,0.0897804,0.131472,
14000,448000,0.338522,0.331516,3.46522,11.1192,0.211377,7.5097,7.52591,3.25603,0.0678415,0.09709,0.175075,
16000,512000,0.337967,0.334078,3.46519,11.1192,0.362092,7.50967,7.52602,3.25599,0.145839,0.18441,0.275381,
18000,576000,0.338688,0.344453,3.46517,11.1199,0.295278,7.50984,7.52633,3.25704,0.0955984,0.152972,0.233773,
20000,640000,0.337861,0.330422,3.46518,11.1215,0.169938,7.51045,7.52712,3.25934,0.0587998,0.0880946,0.132894,
22000,704000,0.337784,0.337016,3.46508,11.124,0.288537,7.51135,7.52822,3.2632,0.0989208,0.153641,0.2233,
24000,768000,0.337784,0.337781,3.46495,11.1246,0.253066,7.51158,7.52856,3.26415,0.0848843,0.123549,0.203894,
26000,832000,0.337675,0.336375,3.46486,11.1261,0.148047,7.51227,7.52934,3.26571,0.0525814,0.0780424,0.114292,
28000,896000,0.337961,0.341672,3.46488,11.1272,0.153652,7.51269,7.5299,3.26709,0.0611457,0.0867696,0.11109,
30000,960000,0.337972,0.338125,3.46484,11.1293,0.147443,7.51368,7.53105,3.26946,0.0537589,0.0788728,0.112376,
32000,1024000,0.337863,0.336234,3.46473,11.1302,0.235275,7.51403,7.53148,3.27085,0.0710085,0.117906,0.190816,
34000,1088000,0.337982,0.339875,3.4648,11.1322,0.334488,7.51485,7.53244,3.27333,0.123191,0.174608,0.257328,
36000,1152000,0.337826,0.335172,3.46459,11.1353,0.350547,7.51617,7.53395,3.27757,0.121367,0.178606,0.27614,
38000,1216000,0.337736,0.336125,3.46458,11.1384,0.215952,7.5175,7.53545,3.28135,0.0737279,0.103853,0.174396,
40000,1280000,0.337589,0.334797,3.4643,11.142,0.202534,7.51907,7.53721,3.28614,0.0764533,0.106869,0.154124,
42000,1344000,0.337964,0.345469,3.46398,11.1444,0.134064,7.52021,7.53851,3.28872,0.0466043,0.0698408,0.104515,
44000,1408000,0.338013,0.339047,3.46296,11.1495,0.147415,7.52219,7.54078,3.29603,0.0500254,0.0757859,0.116126,
46000,1472000,0.338074,0.339406,3.4602,11.1544,0.170201,7.52402,7.54291,3.30355,0.0546056,0.0874924,0.135394,
48000,1536000,0.33818,0.340609,3.45826,11.1583,0.179298,7.5257,7.54481,3.30882,0.0730472,0.101257,0.128682,
50000,1600000,0.338228,0.339375,3.45881,11.1616,0.151729,7.52708,7.54638,3.31315,0.0507982,0.0741096,0.122266,
52000,1664000,0.338084,0.334484,3.45797,11.1658,0.513729,7.52889,7.54842,3.31851,0.193317,0.275445,0.38817,
54000,1728000,0.338198,0.341188,3.45769,11.169,0.123268,7.53026,7.55004,3.32247,0.0438165,0.0640811,0.095753,
56000,1792000,0.33823,0.339094,3.45743,11.174,0.243921,7.53233,7.5524,3.32923,0.0911513,0.127484,0.186914,
58000,1856000,0.338322,0.340875,3.4571,11.1821,0.22891,7.53557,7.5562,3.34043,0.0808683,0.121478,0.176361,
60000,1920000,0.338569,0.34575,3.45574,11.1896,0.131314,7.5387,7.55983,3.35008,0.0454658,0.0700114,0.101364,
62000,1984000,0.338677,0.341906,3.45452,11.1947,0.149437,7.54103,7.56236,3.35638,0.0502971,0.0777757,0.117271,
64000,2048000,0.338511,0.333375,3.45423,11.2021,0.2183,7.54396,7.56566,3.36712,0.0778159,0.115262,0.168268,
66000,2112000,0.338724,0.345531,3.45356,11.2108,0.212014,7.54785,7.57005,3.37744,0.0681325,0.104101,0.171671,
68000,2176000,0.338712,0.338313,3.45306,11.2164,0.2763,7.55064,7.57304,3.38285,0.0976041,0.146033,0.213283,
70000,2240000,0.338547,0.332938,3.4529,11.2228,0.201571,7.55358,7.57628,3.39052,0.0704808,0.100181,0.160084,
72000,2304000,0.338587,0.34,3.45307,11.2305,0.181812,7.55722,7.58023,3.39904,0.0780077,0.0923084,0.135829,
74000,2368000,0.338546,0.337047,3.45272,11.239,0.213278,7.56104,7.58431,3.40952,0.0721117,0.108038,0.169161,
76000,2432000,0.338609,0.340937,3.45164,11.2493,0.274227,7.56564,7.58932,3.42202,0.104206,0.147298,0.206506,
78000,2496000,0.338668,0.340937,3.45104,11.2584,0.17588,7.5699,7.59377,3.43255,0.0692905,0.0912204,0.13346,
80000,2560000,0.338615,0.336547,3.44855,11.2713,0.205866,7.57583,7.60024,3.44753,0.0750638,0.106673,0.159271,
82000,2624000,0.338832,0.347516,3.44498,11.2859,0.273874,7.58228,7.60751,3.46493,0.105192,0.140119,0.210496,
84000,2688000,0.33891,0.342094,3.44407,11.2941,0.642285,7.58655,7.61173,3.47305,0.277598,0.302028,0.494215,
86000,2752000,0.33902,0.343625,3.44439,11.309,0.235196,7.59319,7.61898,3.4911,0.0813849,0.112337,0.189932,
88000,2816000,0.339103,0.342687,3.44047,11.3267,0.392146,7.60141,7.62773,3.51153,0.166098,0.201021,0.292883,
90000,2880000,0.339192,0.343125,3.43947,11.3413,0.215216,7.60859,7.63517,3.52688,0.0830185,0.113399,0.162993,
92000,2944000,0.339196,0.339375,3.43397,11.3659,0.34258,7.6196,7.64708,3.55643,0.139237,0.168717,0.263644,
94000,3008000,0.339298,0.343953,3.42615,11.3869,0.197609,7.6294,7.65734,3.58041,0.0902711,0.100861,0.14397,
