MedEntropy
Actor Topology:,Layer 0,Neurons-85, Activation-LINEAR,Layer 1,Neurons-170, Activation-RELU,Layer 2,Neurons-170, Activation-RELU,Layer 3,Neurons-32, Activation-SOFTMAX,
Actor Learning Rate:,0.0005
Optimizer Type:,Momentum
Momentum Coeff:,0.95
Entropy Coeff:,0.01
Baseline Type:,Critic Network
Critic Topology:,Layer 0,Neurons-85, Activation-LINEAR,Layer 1,Neurons-85, Activation-RELU,Layer 2,Neurons-1, Activation-LINEAR,
Critic Learning Rate:,0.015
Critic Optimizer Type:,SDG

Workers:,8, Batch Size:,32


Batches,Hands,TotalAvgScore,RecentAvgScore,RecentAvgEntropy,GlobalWeightNorm,GlobalGradientNorm,Layer1WeightNorm,Layer2WeightNorm,Layer3WeightNorm,Layer1GradientNorm,Layer2GradientNorm,Layer3GradientNorm,
2000,64000,0.341875,0.341875,3.46743,11.0811,0.288779,7.46231,7.51995,3.24873,0.10197,0.155387,0.221021,
4000,128000,0.338773,0.335672,3.46663,11.0814,0.255832,7.46232,7.52008,3.2496,0.0847232,0.134772,0.200271,
6000,192000,0.338422,0.337719,3.46547,11.0835,0.211461,7.46318,7.52108,3.25249,0.0756785,0.1117,0.162824,
8000,256000,0.339184,0.341469,3.46527,11.0838,0.192923,7.46311,7.52116,3.25353,0.0675979,0.107747,0.145053,
10000,320000,0.337903,0.332781,3.46519,11.0852,0.15531,7.4637,7.52186,3.25532,0.0538234,0.0832526,0.119554,
12000,384000,0.338187,0.339609,3.46519,11.0868,0.168444,7.46433,7.52262,3.25734,0.0551761,0.0914139,0.130278,
14000,448000,0.337792,0.335422,3.46515,11.089,0.252696,7.46524,7.52367,3.26044,0.0904058,0.142481,0.188099,
16000,512000,0.337594,0.336203,3.46512,11.0901,0.100743,7.46567,7.52422,3.26189,0.0371417,0.0537836,0.0766612,
18000,576000,0.337189,0.333953,3.46503,11.0919,0.226684,7.46646,7.52515,3.26412,0.0794438,0.122355,0.173503,
20000,640000,0.338173,0.347031,3.465,11.0919,0.196594,7.46643,7.5252,3.26412,0.069329,0.106904,0.149713,
22000,704000,0.338371,0.340344,3.46506,11.0937,0.194468,7.46702,7.52595,3.26695,0.0638045,0.108241,0.148427,
24000,768000,0.338516,0.340109,3.46494,11.0972,0.210122,7.46828,7.52742,3.27257,0.0832989,0.116877,0.153467,
26000,832000,0.338381,0.336766,3.46485,11.0984,0.187008,7.4689,7.52816,3.27371,0.0663856,0.100158,0.143295,
28000,896000,0.337936,0.332156,3.46478,11.1002,0.20888,7.46965,7.52906,3.27587,0.0655109,0.103234,0.169357,
30000,960000,0.338117,0.340641,3.46487,11.1026,0.509438,7.47072,7.53031,3.2789,0.214588,0.276431,0.370222,
32000,1024000,0.338014,0.336469,3.46476,11.1058,0.200792,7.47239,7.53212,3.28157,0.0664574,0.113289,0.151877,
34000,1088000,0.337812,0.334578,3.46479,11.1099,0.234221,7.47417,7.53412,3.28693,0.0905853,0.126906,0.174783,
36000,1152000,0.337522,0.332594,3.46465,11.1126,0.264399,7.47547,7.53555,3.28993,0.0985264,0.1373,0.203342,
38000,1216000,0.33734,0.334078,3.46479,11.115,0.338106,7.47653,7.5368,3.29274,0.133056,0.182616,0.251521,
40000,1280000,0.337421,0.338953,3.46478,11.1185,0.249446,7.47802,7.53852,3.29725,0.0922854,0.1403,0.184452,
42000,1344000,0.33724,0.333625,3.46422,11.1232,0.245926,7.48009,7.54079,3.30324,0.0948658,0.127638,0.187586,
44000,1408000,0.337243,0.337297,3.46415,11.1258,1.10185,7.48125,7.54208,3.30639,0.393684,0.60004,0.836082,
46000,1472000,0.337258,0.337594,3.46416,11.1302,0.0993075,7.48308,7.54413,3.31208,0.0376247,0.0554938,0.0732584,
48000,1536000,0.337009,0.331281,3.4632,11.1354,0.194187,7.48537,7.54674,3.31848,0.0615383,0.100911,0.154073,
50000,1600000,0.337147,0.340453,3.46249,11.1391,0.227861,7.48704,7.54866,3.32292,0.0816998,0.125651,0.171632,
52000,1664000,0.33705,0.334641,3.46001,11.1455,0.219413,7.48971,7.55171,3.33143,0.0818338,0.115777,0.167455,
54000,1728000,0.337014,0.336078,3.45968,11.1497,1.16723,7.49163,7.55371,3.33645,0.409431,0.633956,0.890446,
56000,1792000,0.337051,0.338031,3.46003,11.1548,0.573468,7.49413,7.55639,3.3418,0.183372,0.320257,0.438948,
58000,1856000,0.337249,0.342797,3.45981,11.1607,0.493947,7.49689,7.55942,3.3485,0.204244,0.265491,0.363018,
60000,1920000,0.337281,0.338203,3.45925,11.1653,0.192746,7.49912,7.56186,3.35327,0.0802526,0.103868,0.141145,
62000,1984000,0.337302,0.337953,3.45795,11.1727,0.230756,7.50237,7.56541,3.36261,0.0819071,0.11707,0.181202,
64000,2048000,0.337367,0.339375,3.45788,11.1803,0.192352,7.50595,7.56923,3.3716,0.0704866,0.103084,0.146303,
66000,2112000,0.337422,0.339172,3.45755,11.1885,0.229708,7.50984,7.57333,3.3807,0.0858718,0.118103,0.177324,
68000,2176000,0.337333,0.334391,3.45777,11.1963,0.318232,7.51372,7.57732,3.38915,0.110721,0.171785,0.24393,
70000,2240000,0.337552,0.345016,3.4575,11.2038,0.318238,7.51713,7.58095,3.39816,0.119854,0.17758,0.23532,
72000,2304000,0.337641,0.34075,3.45723,11.2133,0.157304,7.52144,7.5856,3.40964,0.0618948,0.0856564,0.116518,
74000,2368000,0.337814,0.344047,3.4565,11.2227,0.201458,7.5258,7.59021,3.42051,0.0857209,0.111653,0.144121,
76000,2432000,0.337838,0.338703,3.45626,11.2352,0.420168,7.53154,7.59634,3.43513,0.185002,0.23409,0.295833,
78000,2496000,0.337868,0.339016,3.45543,11.2466,0.393444,7.53684,7.60193,3.44862,0.146285,0.204231,0.302802,
80000,2560000,0.338175,0.350156,3.45477,11.2593,0.222813,7.5427,7.60817,3.46333,0.0933627,0.117872,0.164424,
82000,2624000,0.338316,0.343953,3.45399,11.2738,0.686096,7.54923,7.61529,3.48067,0.280264,0.359717,0.512625,
84000,2688000,0.338403,0.341984,3.45305,11.2926,0.270616,7.55782,7.6246,3.50264,0.0959108,0.139095,0.211393,
86000,2752000,0.338432,0.339656,3.44843,11.3171,0.435679,7.56868,7.63638,3.53249,0.174508,0.226832,0.328497,
88000,2816000,0.338329,0.333891,3.44505,11.3338,0.76917,7.57673,7.6447,3.55054,0.286397,0.395506,0.594285,
90000,2880000,0.338456,0.344031,3.44243,11.3557,0.21915,7.58717,7.65568,3.57465,0.0936933,0.11303,0.162705,
92000,2944000,0.33864,0.346922,3.44032,11.3807,0.251763,7.59882,7.66788,3.60302,0.0952108,0.125664,0.196285,
94000,3008000,0.338639,0.338578,3.43609,11.4049,0.298198,7.61071,7.67993,3.62856,0.122582,0.156517,0.222257,
