HighEntropy
Actor Topology:,Layer 0,Neurons-85, Activation-LINEAR,Layer 1,Neurons-170, Activation-RELU,Layer 2,Neurons-170, Activation-RELU,Layer 3,Neurons-32, Activation-SOFTMAX,
Actor Learning Rate:,0.0005
Optimizer Type:,Momentum
Momentum Coeff:,0.95
Entropy Coeff:,0.03
Baseline Type:,Critic Network
Critic Topology:,Layer 0,Neurons-85, Activation-LINEAR,Layer 1,Neurons-85, Activation-RELU,Layer 2,Neurons-1, Activation-LINEAR,
Critic Learning Rate:,0.015
Critic Optimizer Type:,SDG

Workers:,8, Batch Size:,32


Batches,Hands,TotalAvgScore,RecentAvgScore,RecentAvgEntropy,GlobalWeightNorm,GlobalGradientNorm,Layer1WeightNorm,Layer2WeightNorm,Layer3WeightNorm,Layer1GradientNorm,Layer2GradientNorm,Layer3GradientNorm,
2000,64000,0.343594,0.343594,3.46668,11.0989,0.156351,7.46762,7.52258,3.2911,0.0567492,0.0872041,0.116708,
4000,128000,0.33925,0.334906,3.46598,11.0992,0.124483,7.46769,7.52274,3.29148,0.0483667,0.0693035,0.0913982,
6000,192000,0.338786,0.337859,3.46576,11.0991,0.220072,7.46751,7.52268,3.29164,0.0763657,0.117031,0.170011,
8000,256000,0.339621,0.342125,3.46575,11.0985,0.350111,7.46717,7.52245,3.29109,0.112991,0.180713,0.277765,
10000,320000,0.339869,0.340859,3.46549,11.0998,0.158815,7.46757,7.52301,3.29325,0.0526973,0.0809617,0.126057,
12000,384000,0.339182,0.33575,3.4653,11.1007,0.136262,7.46774,7.52335,3.29494,0.0483882,0.0710803,0.105705,
14000,448000,0.339163,0.339047,3.46522,11.1023,0.285397,7.46831,7.52407,3.29766,0.096613,0.143477,0.227006,
16000,512000,0.338875,0.336859,3.46509,11.1027,0.183527,7.46813,7.52408,3.29935,0.067946,0.098149,0.139399,
18000,576000,0.33934,0.343062,3.46499,11.1036,0.196533,7.46845,7.5245,3.30056,0.0640442,0.098416,0.1576,
20000,640000,0.338681,0.33275,3.46499,11.1039,0.395463,7.46858,7.5247,3.30099,0.147133,0.193984,0.31163,
22000,704000,0.338655,0.338391,3.46503,11.1056,0.103312,7.4692,7.52543,3.30337,0.0389069,0.0565981,0.0771763,
24000,768000,0.338387,0.335438,3.46493,11.108,0.232166,7.47018,7.5266,3.30682,0.0825371,0.124147,0.177978,
26000,832000,0.338502,0.339891,3.46467,11.1082,0.151546,7.47031,7.52682,3.30664,0.0509242,0.075656,0.121033,
28000,896000,0.33848,0.338187,3.46487,11.1094,0.268979,7.47071,7.52735,3.30847,0.097772,0.144184,0.204943,
30000,960000,0.338339,0.336359,3.4649,11.1117,0.136725,7.47174,7.5285,3.31129,0.0450426,0.069053,0.109072,
32000,1024000,0.338396,0.339266,3.46477,11.1122,0.13605,7.4721,7.52891,3.31136,0.0484147,0.0685554,0.107079,
34000,1088000,0.338507,0.340281,3.4649,11.1138,0.229211,7.47266,7.52961,3.31386,0.0927701,0.11958,0.17214,
36000,1152000,0.338676,0.341547,3.46486,11.1155,0.196883,7.47332,7.53041,3.31628,0.0705856,0.106367,0.149889,
38000,1216000,0.338712,0.339359,3.4648,11.1171,0.22875,7.47398,7.53126,3.31817,0.0874934,0.123366,0.171616,
40000,1280000,0.338755,0.339563,3.46476,11.1209,0.188071,7.47541,7.53295,3.32377,0.070551,0.099458,0.143184,
42000,1344000,0.339007,0.344047,3.46434,11.1222,0.164432,7.47588,7.53355,3.32581,0.0573819,0.088475,0.126164,
44000,1408000,0.339018,0.339266,3.46449,11.1233,0.158521,7.47646,7.53418,3.32649,0.0576488,0.0786109,0.125003,
46000,1472000,0.338848,0.335094,3.46459,11.1264,0.265667,7.47776,7.53566,3.33065,0.092122,0.133062,0.210683,
48000,1536000,0.338753,0.336578,3.46426,11.1299,0.302294,7.4794,7.53748,3.33452,0.10831,0.161623,0.231362,
50000,1600000,0.338814,0.340266,3.46399,11.1342,0.126954,7.48127,7.53965,3.33987,0.044798,0.0668716,0.098177,
52000,1664000,0.338747,0.337078,3.46359,11.1367,0.244534,7.48267,7.54114,3.34185,0.0917029,0.126478,0.188125,
54000,1728000,0.33863,0.335578,3.46356,11.1412,0.172082,7.48468,7.54332,3.34715,0.0613974,0.0890247,0.133855,
56000,1792000,0.338825,0.344109,3.46375,11.1444,0.271887,7.48635,7.5451,3.35019,0.0992465,0.155886,0.19943,
58000,1856000,0.338773,0.337312,3.46386,11.147,0.255817,7.48759,7.5465,3.35277,0.0897801,0.132835,0.19934,
60000,1920000,0.33889,0.342266,3.46382,11.1512,0.240467,7.4896,7.54874,3.35731,0.0936681,0.128597,0.180315,
62000,1984000,0.338426,0.324531,3.46273,11.1555,0.21064,7.49153,7.55078,3.36258,0.0784044,0.107264,0.163452,
64000,2048000,0.338222,0.331875,3.46264,11.1606,0.239554,7.49409,7.55351,3.36793,0.0863889,0.126292,0.184319,
66000,2112000,0.338224,0.338297,3.46242,11.1672,0.233016,7.497,7.55682,3.37577,0.0902774,0.121077,0.177445,
68000,2176000,0.338123,0.334781,3.46088,11.1725,0.313916,7.49935,7.55934,3.38254,0.117365,0.165133,0.239791,
70000,2240000,0.337966,0.332641,3.46201,11.177,0.225122,7.50132,7.56149,3.38795,0.0739575,0.113699,0.179674,
72000,2304000,0.337963,0.337844,3.45835,11.1846,0.187266,7.50456,7.56505,3.39797,0.0711297,0.0939385,0.145549,
74000,2368000,0.33782,0.332687,3.45923,11.1898,0.194488,7.5072,7.5678,3.40315,0.0761659,0.098883,0.149153,
76000,2432000,0.338066,0.347172,3.4588,11.1971,0.207964,7.51066,7.57147,3.4115,0.0863472,0.110718,0.15341,
78000,2496000,0.338148,0.34125,3.45882,11.2026,0.135373,7.51323,7.57419,3.41773,0.0509062,0.0714143,0.103123,
80000,2560000,0.337998,0.332141,3.45881,11.2119,0.14873,7.51742,7.57864,3.42927,0.0526634,0.0796283,0.114046,
82000,2624000,0.337989,0.337641,3.45875,11.2199,0.143782,7.52102,7.58248,3.43882,0.0571264,0.0823862,0.103065,
84000,2688000,0.337926,0.335359,3.45797,11.229,0.23203,7.52563,7.5873,3.44784,0.08956,0.124909,0.173824,
86000,2752000,0.337985,0.340453,3.45754,11.2384,0.269877,7.53028,7.59214,3.45762,0.107467,0.148174,0.198315,
88000,2816000,0.337907,0.334547,3.4572,11.2483,0.242149,7.53503,7.59715,3.46861,0.0883647,0.121867,0.189673,
90000,2880000,0.337922,0.338562,3.45808,11.2571,0.312489,7.53926,7.60166,3.47792,0.125694,0.162507,0.235461,
92000,2944000,0.337929,0.33825,3.45856,11.2689,0.197777,7.54477,7.60734,3.49171,0.0756623,0.10536,0.1493,
94000,3008000,0.338049,0.343563,3.45733,11.2816,0.201576,7.55099,7.61385,3.50527,0.0841681,0.103629,0.151029,
