LowEntropy
Actor Topology:,Layer 0,Neurons-85, Activation-LINEAR,Layer 1,Neurons-170, Activation-RELU,Layer 2,Neurons-170, Activation-RELU,Layer 3,Neurons-32, Activation-SOFTMAX,
Actor Learning Rate:,0.0005
Optimizer Type:,Momentum
Momentum Coeff:,0.95
Entropy Coeff:,0.004
Baseline Type:,Critic Network
Critic Topology:,Layer 0,Neurons-85, Activation-LINEAR,Layer 1,Neurons-85, Activation-RELU,Layer 2,Neurons-1, Activation-LINEAR,
Critic Learning Rate:,0.015
Critic Optimizer Type:,SDG

Workers:,8, Batch Size:,32


Batches,Hands,TotalAvgScore,RecentAvgScore,RecentAvgEntropy,GlobalWeightNorm,GlobalGradientNorm,Layer1WeightNorm,Layer2WeightNorm,Layer3WeightNorm,Layer1GradientNorm,Layer2GradientNorm,Layer3GradientNorm,
88000,2816000,0.338433,0.341422,3.45338,11.3023,0.403288,7.58096,7.63427,3.46261,0.161172,0.213382,0.301883,
90000,2880000,0.338609,0.346359,3.45424,11.3161,0.323097,7.58771,7.64126,3.47725,0.111806,0.168723,0.25184,
92000,2944000,0.33854,0.335438,3.45389,11.333,0.519297,7.59544,7.64951,3.4973,0.190842,0.281852,0.392185,
94000,3008000,0.338501,0.336703,3.45296,11.352,0.223882,7.604,7.65893,3.5195,0.0863779,0.112736,0.173069,
96000,3072000,0.338489,0.337922,3.45192,11.3729,0.231574,7.61378,7.66929,3.54332,0.0946475,0.121106,0.173211,
98000,3136000,0.338596,0.343719,3.45013,11.3949,0.831486,7.62414,7.68021,3.56812,0.312227,0.43943,0.633076,
100000,3200000,0.338734,0.3455,3.44392,11.4184,0.299772,7.63487,7.69162,3.59533,0.114351,0.149612,0.233246,
102000,3264000,0.33866,0.334969,3.44212,11.4355,0.43038,7.64348,7.70028,3.61301,0.157913,0.218824,0.335271,
104000,3328000,0.338716,0.341578,3.44256,11.4592,0.341718,7.65479,7.71186,3.6394,0.162715,0.17841,0.241794,
106000,3392000,0.338871,0.346938,3.43971,11.4891,0.300097,7.66904,7.72661,3.67206,0.144072,0.154291,0.213297,
108000,3456000,0.338878,0.339219,3.43447,11.526,0.488961,7.68647,7.74488,3.71267,0.22019,0.244873,0.361437,
110000,3520000,0.338984,0.344734,3.42596,11.5671,0.415291,7.70597,7.76536,3.75704,0.206212,0.216029,0.288574,
112000,3584000,0.339156,0.348594,3.41429,11.6022,0.260249,7.72344,7.78271,3.79324,0.125118,0.126591,0.189868,
114000,3648000,0.339283,0.346406,3.40994,11.6413,0.591845,7.74297,7.80211,3.8333,0.341056,0.322695,0.360318,
116000,3712000,0.339508,0.352328,3.39815,11.7023,0.322336,7.77253,7.83232,3.89691,0.167356,0.162357,0.22256,
118000,3776000,0.339582,0.343891,3.37555,11.7716,0.479495,7.80636,7.86678,3.96791,0.212794,0.232217,0.361537,
120000,3840000,0.33979,0.352031,3.29307,11.876,0.762932,7.85721,7.9188,4.0739,0.422584,0.358049,0.524679,
122000,3904000,0.340155,0.362063,3.10302,11.9617,1.08448,7.90017,7.96124,4.15801,0.551631,0.519827,0.775618,
124000,3968000,0.340663,0.371672,3.05982,12.1051,0.820913,7.97114,8.03264,4.29783,0.47923,0.392848,0.53843,
126000,4032000,0.341361,0.384656,2.7392,12.2344,0.882185,8.03729,8.0966,4.41914,0.458529,0.423407,0.62348,
128000,4096000,0.342052,0.385531,2.61807,12.3631,1.53851,8.10411,8.16018,4.5367,0.779969,0.639822,1.16159,
130000,4160000,0.342724,0.385766,2.41098,12.4891,0.603585,8.16995,8.22241,4.64985,0.388335,0.282396,0.365736,
132000,4224000,0.34348,0.392594,2.22666,12.6224,0.58454,8.23922,8.28849,4.76888,0.417698,0.252681,0.321508,
