LowEntropy
Actor Topology:,Layer 0,Neurons-85, Activation-LINEAR,Layer 1,Neurons-170, Activation-RELU,Layer 2,Neurons-170, Activation-RELU,Layer 3,Neurons-32, Activation-SOFTMAX,
Actor Learning Rate:,0.0005
Optimizer Type:,Momentum
Momentum Coeff:,0.95
Entropy Coeff:,0.004
Baseline Type:,Critic Network
Critic Topology:,Layer 0,Neurons-85, Activation-LINEAR,Layer 1,Neurons-85, Activation-RELU,Layer 2,Neurons-1, Activation-LINEAR,
Critic Learning Rate:,0.015
Critic Optimizer Type:,SDG

Workers:,8, Batch Size:,32


Batches,Hands,TotalAvgScore,RecentAvgScore,GlobalWeightNorm,GlobalGradientNorm,Layer1WeightNorm,Layer2WeightNorm,Layer3WeightNorm,Layer1GradientNorm,Layer2GradientNorm,Layer3GradientNorm,
96000,3072000,0.338934,0.342734,11.502,0.467043,7.72371,7.68531,3.68451,0.186657,0.231357,0.360225,
98000,3136000,0.33906,0.345094,11.5393,0.292107,7.74125,7.70396,3.72536,0.120639,0.135641,0.228854,
100000,3200000,0.339184,0.34525,11.5729,0.307065,7.75761,7.72061,3.76065,0.142079,0.159394,0.220671,
102000,3264000,0.339352,0.347766,11.6073,0.261354,7.77427,7.7378,3.79699,0.11955,0.129328,0.193101,
104000,3328000,0.339417,0.342719,11.6498,0.302974,7.79479,7.75887,3.84171,0.144914,0.149716,0.219951,
106000,3392000,0.339571,0.347578,11.7052,0.451366,7.82177,7.78664,3.89881,0.241582,0.222945,0.309296,
108000,3456000,0.339727,0.348,11.7767,0.50661,7.85558,7.82213,3.97417,0.258249,0.241529,0.362802,
110000,3520000,0.33993,0.350922,11.8447,0.429627,7.8891,7.85571,4.04305,0.243798,0.200518,0.291436,
112000,3584000,0.340148,0.352125,11.9279,0.301088,7.93007,7.89713,4.12607,0.162088,0.146336,0.207286,
114000,3648000,0.340474,0.358703,12.0383,0.565609,7.98394,7.95195,4.23597,0.29599,0.25732,0.407541,
116000,3712000,0.340804,0.359656,12.1666,0.652773,8.04797,8.01604,4.35883,0.399705,0.298092,0.421295,
118000,3776000,0.341329,0.37175,12.3037,0.404688,8.11724,8.08476,4.4864,0.274443,0.202355,0.217957,
120000,3840000,0.341962,0.379344,12.4812,0.97237,8.20731,8.17415,4.64808,0.649354,0.46616,0.553658,
122000,3904000,0.342729,0.388719,12.6901,1.21264,8.31282,8.27921,4.83628,0.700324,0.536847,0.831762,
124000,3968000,0.343701,0.403016,12.8706,0.863448,8.40727,8.36943,4.99226,0.73452,0.312346,0.329337,
126000,4032000,0.344749,0.409719,13.0273,0.697015,8.491,8.44752,5.12368,0.460215,0.25308,0.458239,
128000,4096000,0.345848,0.415062,13.1551,0.579356,8.56107,8.51048,5.22843,0.391584,0.238505,0.354162,
130000,4160000,0.347093,0.42675,13.3038,1.30675,8.64215,8.5842,5.34935,0.972911,0.512531,0.705941,
132000,4224000,0.34831,0.427438,13.4827,2.07163,8.73759,8.67392,5.49552,1.57867,0.972855,0.923568,
134000,4288000,0.349631,0.436797,13.6007,1.0031,8.80335,8.73168,5.58904,0.628347,0.421359,0.658664,
136000,4352000,0.350971,0.440781,13.7842,2.05107,8.90187,8.82327,5.73668,1.65939,0.794042,0.907093,
138000,4416000,0.352448,0.452859,13.9967,0.764971,9.01487,8.9305,5.9064,0.559479,0.310478,0.419247,
140000,4480000,0.354148,0.471438,14.1995,1.37729,9.12575,9.03239,6.06312,0.999324,0.494798,0.808372,
142000,4544000,0.355782,0.470172,14.3493,0.962206,9.21037,9.10653,6.17606,0.778464,0.358772,0.43717,
144000,4608000,0.357513,0.480469,14.5218,0.743867,9.30463,9.19369,6.30738,0.498506,0.302345,0.461971,
146000,4672000,0.359339,0.49075,14.6862,1.20195,9.39509,9.27618,6.43197,0.788474,0.493523,0.761204,
148000,4736000,0.361105,0.490016,14.8366,1.2607,9.47778,9.35218,6.54475,1.04044,0.525727,0.48008,
150000,4800000,0.362931,0.498062,14.9853,1.4318,9.56067,9.42682,6.65491,0.960111,0.653376,0.837467,
152000,4864000,0.364722,0.499078,15.1186,0.847513,9.63542,9.49396,6.75251,0.651692,0.371102,0.39479,
154000,4928000,0.366526,0.503656,15.2422,0.879177,9.70453,9.55625,6.84284,0.578291,0.42262,0.509828,
156000,4992000,0.368369,0.510266,15.3448,1.36921,9.7629,9.60754,6.91702,1.04095,0.571254,0.681783,
158000,5056000,0.370225,0.515,15.4393,0.654261,9.81712,9.65447,6.98487,0.55639,0.238601,0.248108,
160000,5120000,0.372025,0.514188,15.5327,0.739587,9.87098,9.70106,7.05118,0.558617,0.330936,0.354144,
162000,5184000,0.373737,0.510672,15.6044,2.06272,9.91275,9.7364,7.10201,1.37761,1.07223,1.09878,
164000,5248000,0.375418,0.511609,15.6933,1.22775,9.9646,9.78061,7.16418,0.945672,0.526786,0.579295,
166000,5312000,0.376993,0.506125,15.7659,1.44217,10.0077,9.81606,7.21488,1.0418,0.690684,0.719339,
168000,5376000,0.378634,0.514844,15.8391,1.23363,10.0511,9.85226,7.26532,0.88539,0.555366,0.655357,
170000,5440000,0.380183,0.510297,15.8982,0.866612,10.0866,9.88115,7.30583,0.701784,0.397703,0.316777,
172000,5504000,0.381798,0.519078,15.9653,0.443344,10.1263,9.91434,7.35218,0.345262,0.163768,0.224784,
174000,5568000,0.383295,0.512078,16.02,0.367444,10.1602,9.94066,7.38867,0.26967,0.150207,0.199327,
176000,5632000,0.384806,0.516219,16.0603,1.67962,10.1879,9.95847,7.41404,1.15188,0.796795,0.927038,
178000,5696000,0.386255,0.513766,16.1125,0.551993,10.2205,9.98306,7.44942,0.390882,0.232771,0.312611,
180000,5760000,0.387685,0.514984,16.1503,0.735124,10.2454,10.0002,7.4739,0.566576,0.323367,0.33887,
182000,5824000,0.389212,0.526625,16.203,1.08504,10.2775,10.0258,7.50946,0.843476,0.469003,0.49589,
184000,5888000,0.390591,0.516109,16.2347,1.2717,10.3,10.0396,7.52865,1.02722,0.527655,0.532564,
