Topology 
Layer 0, Neurons-85, Activation-LINEARLayer 1, Neurons-170, Activation-RELULayer 2, Neurons-170, Activation-RELULayer 3, Neurons-32, Activation-SOFTMAX
Learning Rate,0.0005
TrainingTime, 6261.77s

Batches,Hands,TotalAvgScore,RecentAvgScore,GlobalWeightNorm,GlobalGradientNorm,Layer1WeightNorm,Layer2WeightNorm,Layer3WeightNorm,Layer1GradientNorm,Layer2GradientNorm,Layer3GradientNorm,
102000,3264000,0.339549,0.350313,11.7246,0.65231,7.79708,7.81363,3.9521,0.376825,0.324678,0.422013,
104000,3328000,0.339806,0.352937,11.8282,1.7109,7.84739,7.86469,4.05843,1.28607,0.835492,0.758388,
106000,3392000,0.340014,0.350812,11.8813,0.261243,7.87669,7.89071,4.10612,0.182027,0.104268,0.155699,
108000,3456000,0.340364,0.358906,11.9755,0.615003,7.92573,7.93738,4.19435,0.486871,0.282167,0.248127,
110000,3520000,0.340933,0.371688,12.1039,0.62829,7.99066,8.00101,4.31714,0.493837,0.248621,0.298431,
112000,3584000,0.341478,0.371437,12.23,2.89775,8.05608,8.06356,4.43305,2.43917,1.31363,0.849557,
114000,3648000,0.34207,0.375203,12.387,2.46426,8.13617,8.14185,4.57709,1.92475,1.21127,0.949085,
116000,3712000,0.342892,0.389781,12.5194,1.09174,8.20475,8.20762,4.69609,0.650761,0.539974,0.690538,
118000,3776000,0.343815,0.397312,12.6789,3.26053,8.28764,8.28706,4.83677,2.51401,1.46527,1.47099,
120000,3840000,0.344801,0.403,12.8142,0.398116,8.35977,8.35414,4.95252,0.290241,0.153264,0.225315,
122000,3904000,0.345927,0.413469,12.9796,0.76603,8.44674,8.4363,5.09431,0.521977,0.323146,0.458169,
124000,3968000,0.347236,0.427078,13.1791,1.13374,8.552,8.53619,5.26175,0.914352,0.365714,0.561757,
126000,4032000,0.348498,0.426781,13.3114,0.500332,8.62526,8.60094,5.36861,0.411739,0.190651,0.210844,
128000,4096000,0.349908,0.438719,13.4677,1.6316,8.70973,8.67845,5.49584,1.18977,0.743977,0.832504,
130000,4160000,0.351376,0.445359,13.6282,1.20028,8.79798,8.75761,5.62382,0.978209,0.535108,0.444354,
132000,4224000,0.352835,0.447609,13.7472,0.75682,8.86627,8.81547,5.71505,0.65616,0.249492,0.282817,
134000,4288000,0.35427,0.449016,13.8739,0.69552,8.93801,8.8776,5.81243,0.502271,0.311901,0.366318,
136000,4352000,0.355796,0.458031,13.987,0.916851,9.00435,8.93213,5.89708,0.708851,0.375209,0.444257,
138000,4416000,0.357292,0.459,14.1032,1.06633,9.07332,8.98783,5.98283,0.875326,0.417018,0.443798,
140000,4480000,0.358784,0.461781,14.2596,0.889683,9.16201,9.06546,6.10013,0.673564,0.33624,0.474121,
142000,4544000,0.360396,0.473234,14.3781,1.4303,9.23216,9.12314,6.18589,1.09892,0.585777,0.703562,
144000,4608000,0.361859,0.465703,14.5022,0.791644,9.30528,9.18384,6.27551,0.63811,0.283799,0.372792,
146000,4672000,0.363361,0.471516,14.6158,1.5419,9.37367,9.23886,6.35616,1.38067,0.533067,0.432463,
148000,4736000,0.364836,0.472531,14.7003,1.06207,9.42766,9.27818,6.41358,0.812891,0.455787,0.509371,
150000,4800000,0.366246,0.470594,14.7822,0.305744,9.47887,9.31701,6.46984,0.281703,0.0912682,0.0761119,
152000,4864000,0.367678,0.475031,14.862,1.42681,9.53221,9.35346,6.52144,1.21149,0.56107,0.503263,
154000,4928000,0.369045,0.472937,14.9491,1.37336,9.587,9.39498,6.58017,1.11219,0.620058,0.514465,
