Topology 
Layer 0, Neurons-85, Activation-LINEARLayer 1, Neurons-170, Activation-RELULayer 2, Neurons-170, Activation-RELULayer 3, Neurons-32, Activation-SOFTMAX
Learning Rate,0.002

Baseline Calculator, Critic Network
Iterations,TotalAvgScore,RecentAvgScore,GlobalWeightNorm,GlobalGradientNorm,Layer1WeightNorm,Layer2WeightNorm,Layer3WeightNorm,Layer1GradientNorm,Layer2GradientNorm,Layer3GradientNorm,
57000,0.337035,0.38,11.1709,0.742327,7.53449,7.54367,3.33364,0.26699,0.354297,0.59518,
58000,0.336793,0.323,11.1726,1.34196,7.5348,7.54422,3.33742,0.489402,0.696432,1.03746,
59000,0.336746,0.334,11.1698,0.671173,7.53369,7.54311,3.33313,0.213038,0.342112,0.5367,
60000,0.337017,0.353,11.1702,0.623914,7.53391,7.54338,3.33348,0.217642,0.333874,0.480029,
61000,0.337656,0.376,11.17,0.539303,7.53368,7.5433,3.33332,0.175845,0.241634,0.448931,
62000,0.338016,0.36,11.1676,0.497395,7.53301,7.54249,3.32872,0.155317,0.239041,0.4076,
63000,0.337714,0.319,11.1691,0.48023,7.53338,7.54307,3.33168,0.160218,0.240466,0.383571,
64000,0.337766,0.341,11.1697,1.14798,7.53341,7.54322,3.33299,0.431634,0.600618,0.87796,
65000,0.337769,0.338,11.1688,0.758831,7.5333,7.54306,3.33083,0.229888,0.380548,0.614947,
66000,0.337606,0.327,11.17,0.674238,7.53369,7.54352,3.33273,0.2263,0.345579,0.532879,
67000,0.33706,0.301,11.1708,0.494921,7.53393,7.54386,3.33428,0.198478,0.253292,0.376027,
68000,0.336368,0.29,11.1703,0.420087,7.53386,7.54375,3.33299,0.162049,0.203474,0.329867,
69000,0.337087,0.386,11.1719,0.436584,7.53454,7.54452,3.33499,0.163149,0.225947,0.336059,
70000,0.336771,0.315,11.1726,0.41043,7.5348,7.54487,3.33598,0.126321,0.199678,0.335596,
71000,0.33662,0.326,11.1721,0.485076,7.53467,7.54475,3.33482,0.163277,0.230581,0.394299,
72000,0.336722,0.344,11.1713,0.400496,7.53422,7.54434,3.33402,0.132974,0.202531,0.318898,
73000,0.33637,0.311,11.1743,1.00074,7.53503,7.54543,3.33984,0.372863,0.434397,0.820825,
74000,0.336324,0.333,11.173,0.388264,7.53452,7.54493,3.33794,0.132816,0.207586,0.300028,
75000,0.33608,0.318,11.1702,0.500127,7.5338,7.54394,3.33239,0.131034,0.230781,0.423907,
76000,0.3365,0.368,11.1701,0.712424,7.5339,7.544,3.33172,0.270626,0.373835,0.542731,
77000,0.336026,0.3,11.1694,0.457939,7.53363,7.54375,3.33053,0.176317,0.247632,0.34249,
78000,0.336462,0.37,11.1688,0.516394,7.53342,7.5435,3.32956,0.180721,0.267155,0.403275,
79000,0.336911,0.372,11.1688,0.524892,7.53347,7.54352,3.3292,0.180086,0.264026,0.416379,
80000,0.336888,0.335,11.1706,0.558623,7.53389,7.54414,3.33282,0.203059,0.28857,0.433075,
81000,0.337605,0.395,11.1717,0.65821,7.53432,7.54466,3.33454,0.211358,0.296794,0.548162,
82000,0.337756,0.35,11.1714,0.700982,7.53414,7.5445,3.33437,0.238033,0.313233,0.580174,
83000,0.337867,0.347,11.171,1.02438,7.53418,7.54444,3.33289,0.326097,0.514217,0.823765,
84000,0.337917,0.342,11.1719,0.500648,7.53441,7.5448,3.33457,0.178104,0.258506,0.390002,
85000,0.337553,0.307,11.174,0.761107,7.53511,7.54561,3.33838,0.252563,0.367882,0.61657,
86000,0.337256,0.312,11.174,0.566213,7.53503,7.54562,3.33856,0.183386,0.271359,0.461878,
87000,0.337437,0.353,11.1745,0.638211,7.53535,7.54594,3.33867,0.205661,0.290578,0.529699,
88000,0.337523,0.345,11.1737,0.948936,7.53489,7.54551,3.33807,0.40547,0.485934,0.707066,
