Topology 
Layer 0, Neurons-85, Activation-LINEARLayer 1, Neurons-170, Activation-RELULayer 2, Neurons-170, Activation-RELULayer 3, Neurons-32, Activation-SOFTMAX
Learning Rate,0.002

Baseline Calculator, Critic Network
Iterations,TotalAvgScore,RecentAvgScore,GlobalWeightNorm,GlobalGradientNorm,Layer1WeightNorm,Layer2WeightNorm,Layer3WeightNorm,Layer1GradientNorm,Layer2GradientNorm,Layer3GradientNorm,
57000,0.338649,0.311,11.1463,0.4514,7.56325,7.49342,3.29948,0.142448,0.244938,0.351391,
58000,0.338517,0.331,11.1476,2.74533,7.56357,7.49395,3.3019,0.874283,1.45624,2.15681,
59000,0.338508,0.338,11.1473,0.58794,7.56326,7.49371,3.30192,0.204135,0.303532,0.460293,
60000,0.338933,0.364,11.1473,0.480116,7.56329,7.4938,3.30194,0.156725,0.234908,0.388287,
61000,0.338902,0.337,11.148,0.500918,7.56334,7.49401,3.30354,0.17223,0.244068,0.402102,
62000,0.338968,0.343,11.148,0.59474,7.56327,7.49406,3.30348,0.19574,0.317774,0.463056,
63000,0.339571,0.377,11.1486,0.723507,7.56328,7.49425,3.30516,0.212141,0.348978,0.597222,
64000,0.339203,0.316,11.1493,0.68087,7.56366,7.49463,3.30597,0.268736,0.334421,0.528703,
65000,0.339277,0.344,11.1491,0.515212,7.56353,7.49456,3.30567,0.155821,0.276652,0.405742,
66000,0.338833,0.31,11.1482,0.688274,7.56318,7.49418,3.3044,0.264705,0.385877,0.504729,
67000,0.338522,0.318,11.149,1.41222,7.56335,7.49444,3.30579,0.514088,0.688019,1.12103,
68000,0.339059,0.375,11.148,0.546704,7.56301,7.49416,3.30414,0.201317,0.290627,0.417004,
69000,0.338913,0.329,11.1502,0.491147,7.56361,7.49498,3.30823,0.150971,0.256197,0.390891,
70000,0.339229,0.361,11.1496,0.514532,7.5633,7.49467,3.30757,0.163749,0.238029,0.425761,
71000,0.339676,0.371,11.1509,0.574417,7.56348,7.49506,3.3106,0.186508,0.292423,0.457885,
72000,0.340194,0.377,11.1501,0.708213,7.56312,7.49472,3.30959,0.227268,0.336145,0.580449,
73000,0.339795,0.311,11.1499,0.478855,7.56326,7.49484,3.30832,0.139024,0.241739,0.389277,
74000,0.339757,0.337,11.1511,0.397809,7.56352,7.49521,3.31092,0.121236,0.17823,0.334347,
75000,0.3402,0.373,11.1553,0.765504,7.56467,7.49678,3.31892,0.2348,0.390468,0.615143,
76000,0.340434,0.358,11.1565,0.733157,7.5649,7.49713,3.32148,0.274822,0.378501,0.56456,
77000,0.339961,0.304,11.1555,0.435259,7.56468,7.49687,3.31945,0.136502,0.227425,0.345102,
78000,0.340115,0.352,11.1552,0.666652,7.56449,7.49672,3.31903,0.212302,0.341144,0.531953,
79000,0.339722,0.309,11.1562,0.531357,7.56479,7.49709,3.32085,0.179714,0.265493,0.423741,
80000,0.33965,0.334,11.1569,0.529496,7.56497,7.49737,3.32232,0.185013,0.27745,0.411288,
81000,0.339889,0.359,11.1584,1.17121,7.56547,7.49802,3.32459,0.422146,0.6398,0.885538,
82000,0.340073,0.355,11.1562,0.916955,7.56464,7.49709,3.32133,0.261596,0.442955,0.759055,
83000,0.339506,0.293,11.1563,0.623674,7.56464,7.49715,3.32137,0.202795,0.330415,0.488538,
84000,0.339917,0.374,11.1562,0.400347,7.56456,7.4971,3.32151,0.132587,0.190118,0.326425,
85000,0.339329,0.29,11.153,1.16323,7.5635,7.49592,3.31581,0.309504,0.605461,0.943789,
86000,0.339093,0.319,11.1523,0.528436,7.56323,7.49572,3.31458,0.182014,0.28883,0.403351,
87000,0.339494,0.374,11.1538,0.860285,7.56381,7.49645,3.31649,0.249797,0.466397,0.678354,
88000,0.33958,0.347,11.1539,1.08262,7.56377,7.49649,3.31679,0.352601,0.566464,0.852554,
89000,0.339697,0.35,11.152,0.96617,7.56302,7.49566,3.31421,0.334014,0.5458,0.723893,
90000,0.3399,0.358,11.1515,0.732559,7.56277,7.49551,3.3134,0.200244,0.368836,0.600421,
91000,0.33989,0.339,11.1507,0.441725,7.56258,7.49527,3.31168,0.130494,0.234732,0.350704,
92000,0.339663,0.319,11.1507,1.11667,7.56244,7.49518,3.31195,0.364552,0.558555,0.895578,
93000,0.339548,0.329,11.15,0.520961,7.56231,7.49502,3.31033,0.179415,0.273656,0.405368,
94000,0.33983,0.366,11.1499,0.598271,7.56226,7.49494,3.31025,0.179144,0.32052,0.472337,
95000,0.339916,0.348,11.1509,0.673872,7.56244,7.49529,3.31262,0.210046,0.375677,0.518509,
96000,0.339531,0.303,11.1499,0.566052,7.56223,7.49505,3.31022,0.202976,0.283791,0.445733,
97000,0.339381,0.325,11.1507,0.981556,7.56236,7.49529,3.31193,0.299562,0.47003,0.807951,
98000,0.339255,0.327,11.1518,1.10536,7.56252,7.4956,3.3147,0.328262,0.547212,0.90257,
99000,0.339232,0.337,11.1528,0.956357,7.56276,7.49599,3.31647,0.317725,0.492445,0.755757,
100000,0.33932,0.348,11.1562,0.593692,7.5637,7.49731,3.3228,0.170077,0.321395,0.469307,
101000,0.33903,0.31,11.1575,0.560684,7.56412,7.49777,3.32537,0.222241,0.284591,0.428933,
102000,0.338912,0.327,11.1587,0.735563,7.56441,7.49822,3.32763,0.250741,0.386845,0.573178,
103000,0.338621,0.309,11.1575,0.442,7.56388,7.49775,3.32597,0.14729,0.221168,0.353205,
104000,0.338779,0.355,11.158,0.807045,7.56385,7.49793,3.32729,0.247503,0.43611,0.632354,
105000,0.33901,0.363,11.157,1.2893,7.56355,7.49757,3.32539,0.496347,0.666851,0.985524,
106000,0.338594,0.295,11.157,0.492154,7.56348,7.49752,3.3257,0.148895,0.258549,0.391405,
107000,0.338505,0.329,11.1565,0.57619,7.5633,7.49725,3.32489,0.200979,0.304416,0.44602,
108000,0.338028,0.287,11.1545,1.20092,7.5627,7.49656,3.32131,0.457997,0.624432,0.917895,
109000,0.337706,0.303,11.1546,0.316992,7.56268,7.49653,3.32159,0.106894,0.164384,0.24907,
110000,0.337209,0.283,11.154,1.31357,7.56259,7.49638,3.31998,0.421878,0.701929,1.02703,
111000,0.337378,0.356,11.1545,0.417533,7.56282,7.49666,3.32049,0.14325,0.211683,0.330157,
112000,0.337116,0.308,11.1551,0.536996,7.56296,7.49691,3.3217,0.181523,0.280114,0.420654,
113000,0.337407,0.37,11.1562,0.528259,7.56339,7.49741,3.3235,0.187784,0.276805,0.408869,
114000,0.337597,0.359,11.1554,0.583469,7.56313,7.49714,3.32174,0.222805,0.314528,0.438025,
115000,0.337252,0.298,11.1573,0.531117,7.56367,7.49791,3.32542,0.172718,0.284053,0.414208,
116000,0.337103,0.32,11.1557,2.6664,7.56333,7.49746,3.3216,0.930216,1.41312,2.06094,
117000,0.336778,0.299,11.1558,2.80976,7.56349,7.4976,3.32126,0.838403,1.40058,2.28696,
118000,0.336466,0.3,11.1563,0.421484,7.56366,7.49781,3.32227,0.11703,0.223423,0.337691,
119000,0.336546,0.346,11.1582,0.664377,7.5643,7.49862,3.32519,0.218423,0.328168,0.534784,
120000,0.336383,0.317,11.1576,3.92193,7.56406,7.49842,3.32426,1.19022,2.01829,3.14506,
121000,0.336901,0.399,11.1562,0.784353,7.56357,7.49797,3.32165,0.243881,0.398328,0.630133,
122000,0.337057,0.356,11.1541,0.598406,7.56305,7.49734,3.31741,0.219078,0.305139,0.465817,
123000,0.337211,0.356,11.1547,0.443755,7.56301,7.49742,3.31923,0.124263,0.215844,0.367272,
124000,0.337258,0.343,11.1552,0.687303,7.56316,7.49768,3.3198,0.199314,0.378553,0.537919,
125000,0.337088,0.316,11.1553,0.687412,7.56319,7.49781,3.31995,0.220805,0.346083,0.551369,
126000,0.336905,0.314,11.155,0.401536,7.56318,7.49775,3.319,0.125334,0.217078,0.313688,
127000,0.336598,0.298,11.1541,0.667417,7.56298,7.49756,3.31695,0.195759,0.355112,0.530112,
128000,0.336164,0.281,11.1533,0.353531,7.5627,7.49725,3.31555,0.119455,0.189465,0.273528,
129000,0.336566,0.388,11.1547,0.797458,7.56295,7.49774,3.31851,0.262341,0.412373,0.630131,
130000,0.336669,0.35,11.1537,0.688213,7.5627,7.49747,3.3165,0.215894,0.34463,0.555209,
131000,0.336618,0.33,11.1527,0.62323,7.56263,7.49742,3.3134,0.227859,0.326803,0.479267,
132000,0.337038,0.392,11.1532,0.593033,7.56281,7.49778,3.31372,0.209436,0.288964,0.473629,
133000,0.337165,0.354,11.1519,0.607383,7.56246,7.49742,3.31094,0.21551,0.342983,0.452584,
134000,0.337328,0.359,11.1531,2.78035,7.56267,7.49784,3.31351,1.10315,1.51977,2.05029,
135000,0.337511,0.362,11.1527,0.678319,7.56259,7.49778,3.31261,0.178021,0.329638,0.565476,
136000,0.337875,0.387,11.1547,0.732831,7.5632,7.49857,3.31625,0.259105,0.398292,0.557915,
