Topology 
Layer 0, Neurons-85, Activation-LINEARLayer 1, Neurons-170, Activation-RELULayer 2, Neurons-170, Activation-RELULayer 3, Neurons-32, Activation-SOFTMAX
Learning Rate,0.002

Iterations,TotalAvgScore,RecentAvgScore,GlobalWeightNorm,GlobalGradientNorm,Layer1WeightNorm,Layer2WeightNorm,Layer3WeightNorm,Layer1GradientNorm,Layer2GradientNorm,Layer3GradientNorm,
57000,0.339105,0.339,11.1775,0.60107,7.56794,7.52656,3.31872,0.190973,0.316304,0.474095,
58000,0.3385,0.304,11.1783,1.12155,7.56823,7.52696,3.31999,0.363732,0.569036,0.895419,
59000,0.338627,0.346,11.1791,8.35044,7.56829,7.52711,3.32195,3.04607,4.48861,6.34852,
60000,0.3385,0.331,11.1819,0.550058,7.56917,7.52823,3.32705,0.202034,0.274075,0.432006,
61000,0.33782,0.297,11.1825,0.598306,7.56937,7.52851,3.32777,0.207162,0.331836,0.452701,
62000,0.337194,0.299,11.1803,0.582062,7.56853,7.52764,3.3244,0.18229,0.306197,0.460228,
63000,0.336968,0.323,11.1826,0.540322,7.56921,7.52847,3.32856,0.177269,0.240682,0.450106,
64000,0.336609,0.314,11.1825,1.10362,7.56918,7.52845,3.32842,0.376435,0.53378,0.889581,
65000,0.336754,0.346,11.1824,0.532823,7.56924,7.52853,3.32771,0.216608,0.267871,0.406481,
66000,0.336758,0.337,11.1837,0.539876,7.56954,7.52896,3.33036,0.190643,0.272098,0.42554,
67000,0.336627,0.328,11.1841,0.609833,7.56974,7.52918,3.33086,0.207282,0.314353,0.4797,
68000,0.335794,0.28,11.1833,0.528797,7.56946,7.52888,3.32953,0.211474,0.253299,0.413213,
69000,0.335609,0.323,11.1818,0.508992,7.56893,7.52832,3.32685,0.14944,0.25825,0.412368,
70000,0.335671,0.34,11.184,0.57024,7.56959,7.52914,3.33088,0.201071,0.290833,0.447393,
71000,0.336014,0.36,11.1844,0.541237,7.56973,7.5294,3.33124,0.167435,0.251506,0.449053,
72000,0.336778,0.391,11.1852,0.54384,7.57008,7.52984,3.33242,0.165014,0.26056,0.447929,
73000,0.336192,0.294,11.1843,0.495563,7.56977,7.52952,3.33078,0.161638,0.229161,0.408584,
74000,0.335986,0.321,11.184,0.53346,7.56954,7.52938,3.33038,0.211586,0.271558,0.407514,
75000,0.33572,0.316,11.1862,0.496782,7.57004,7.53014,3.33493,0.17639,0.20884,0.414806,
76000,0.335263,0.301,11.1874,0.532274,7.57047,7.53066,3.33699,0.204337,0.261355,0.416239,
77000,0.335948,0.388,11.1912,0.502917,7.57176,7.53247,3.34257,0.167413,0.233794,0.4126,
78000,0.33609,0.347,11.191,0.530973,7.57162,7.5324,3.34236,0.187518,0.253968,0.42693,
79000,0.335772,0.311,11.1909,0.577906,7.5716,7.53241,3.34204,0.19248,0.27704,0.469228,
80000,0.335638,0.325,11.1915,0.611668,7.57168,7.53259,3.34341,0.221945,0.317001,0.473697,
81000,0.335741,0.344,11.1924,0.4988,7.57193,7.53295,3.34522,0.157487,0.230642,0.413284,
82000,0.335793,0.34,11.1915,1.14843,7.57157,7.53259,3.34395,0.378625,0.567186,0.92403,
83000,0.335482,0.31,11.1954,0.57895,7.57267,7.53397,3.35141,0.178021,0.308429,0.456468,
84000,0.335762,0.359,11.1951,0.588043,7.57264,7.53386,3.35071,0.167827,0.305558,0.473564,
85000,0.334882,0.261,11.1943,2.58557,7.57227,7.53349,3.3495,0.971461,1.26692,2.0338,
86000,0.334802,0.328,11.1929,1.04541,7.57185,7.53306,3.34678,0.342872,0.522769,0.837878,
87000,0.334678,0.324,11.1931,0.527351,7.57194,7.53323,3.34687,0.167627,0.270436,0.420552,
88000,0.335023,0.365,11.1939,1.04265,7.57221,7.53365,3.34792,0.361806,0.457988,0.863984,
89000,0.334629,0.3,11.193,3.13906,7.57167,7.53315,3.34737,0.945249,1.6227,2.51536,
90000,0.334367,0.311,11.1933,0.581012,7.57182,7.53335,3.34744,0.173362,0.304197,0.463665,
91000,0.334165,0.316,11.1922,0.550026,7.57134,7.53289,3.34595,0.172169,0.272119,0.445912,
92000,0.334967,0.408,11.194,1.16165,7.57203,7.53368,3.34872,0.377217,0.560706,0.944857,
93000,0.334667,0.307,11.1942,0.574022,7.57206,7.53373,3.34925,0.176122,0.285439,0.465839,
94000,0.33516,0.381,11.1973,0.581649,7.57304,7.53491,3.35472,0.194083,0.296341,0.461334,
95000,0.3356,0.377,11.1979,0.566668,7.57298,7.53503,3.3564,0.182428,0.276339,0.459858,
96000,0.335615,0.337,11.1976,1.17301,7.57271,7.53486,3.35642,0.375133,0.583247,0.946067,
97000,0.335546,0.329,11.1984,0.621683,7.57266,7.53496,3.35909,0.181791,0.309246,0.507748,
98000,0.33552,0.333,11.1982,1.23901,7.57261,7.53489,3.35866,0.440319,0.665001,0.948174,
99000,0.335192,0.303,11.1986,0.625892,7.57257,7.53497,3.35981,0.192407,0.325947,0.498477,
100000,0.33513,0.329,11.1999,0.540928,7.57299,7.53554,3.36206,0.173942,0.243878,0.450411,
101000,0.33498,0.32,11.2016,0.518824,7.57346,7.53621,3.36513,0.171625,0.252594,0.419427,
102000,0.335029,0.34,11.1974,2.80539,7.57217,7.53467,3.35747,0.986474,1.35011,2.25262,
103000,0.334806,0.312,11.1949,0.509664,7.57133,7.53371,3.35334,0.174033,0.245091,0.411583,
104000,0.335269,0.383,11.1998,0.546829,7.57305,7.53574,3.36108,0.191242,0.266193,0.43771,
105000,0.335638,0.374,11.2033,1.05168,7.57438,7.53731,3.36618,0.332239,0.491583,0.868323,
106000,0.335896,0.363,11.2015,0.56978,7.57375,7.53664,3.36309,0.196736,0.297724,0.44419,
107000,0.335841,0.33,11.2037,0.605005,7.57424,7.5373,3.36787,0.196739,0.322416,0.472623,
108000,0.335852,0.337,11.2055,1.1491,7.57458,7.53789,3.37188,0.327282,0.582486,0.934893,
109000,0.336018,0.354,11.2062,0.529837,7.57481,7.53812,3.37296,0.192534,0.264861,0.416541,
110000,0.335973,0.331,11.2024,1.16812,7.57366,7.53662,3.36643,0.430332,0.582829,0.916307,
111000,0.336351,0.378,11.2005,0.560605,7.57298,7.53585,3.3635,0.184995,0.263255,0.459077,
112000,0.336563,0.36,11.2013,0.548585,7.5733,7.53629,3.36445,0.160226,0.264567,0.453076,
113000,0.336611,0.342,11.2039,0.554583,7.57406,7.53727,3.36898,0.202783,0.290427,0.426724,
114000,0.336307,0.302,11.2016,0.540283,7.57361,7.53658,3.36395,0.181711,0.25153,0.442289,
115000,0.336078,0.31,11.2006,1.23924,7.5731,7.53609,3.36274,0.427986,0.646049,0.967044,
116000,0.335767,0.3,11.2008,0.577595,7.57334,7.53633,3.36245,0.199744,0.285527,0.460643,
117000,0.335846,0.345,11.2064,2.62547,7.57509,7.53864,3.37193,0.923921,1.12894,2.18288,
118000,0.335839,0.335,11.206,0.572172,7.5749,7.53848,3.37157,0.168655,0.265551,0.477932,
119000,0.335782,0.329,11.2019,0.622899,7.57345,7.53687,3.36453,0.192339,0.291187,0.515964,
120000,0.335683,0.324,11.2019,1.08735,7.57332,7.53676,3.36518,0.354333,0.604919,0.831173,
121000,0.335545,0.319,11.2022,0.577273,7.57344,7.53696,3.36537,0.202717,0.295272,0.45273,
122000,0.335336,0.31,11.2034,0.546983,7.57384,7.53749,3.36739,0.172182,0.247777,0.456235,
123000,0.335138,0.311,11.201,0.493768,7.57321,7.5367,3.36259,0.136618,0.229423,0.41534,
124000,0.335169,0.339,11.2004,0.564641,7.57301,7.53651,3.3615,0.176087,0.291793,0.450189,
125000,0.335056,0.321,11.1991,0.504904,7.57262,7.53601,3.35923,0.186168,0.237116,0.405025,
126000,0.334746,0.296,11.1976,0.533766,7.57214,7.53546,3.35658,0.173462,0.26485,0.429735,
127000,0.334819,0.344,11.1982,0.57486,7.57232,7.53572,3.35738,0.21034,0.319453,0.42915,
128000,0.334547,0.3,11.1982,0.527464,7.57251,7.53587,3.35671,0.192128,0.255587,0.4195,
129000,0.334543,0.334,11.1967,2.52217,7.5721,7.53539,3.35374,0.788876,1.28218,2.02362,
130000,0.334677,0.352,11.1976,0.597334,7.57233,7.53581,3.35518,0.214452,0.298334,0.470973,
131000,0.334969,0.373,11.1991,0.593881,7.57283,7.53653,3.3576,0.163582,0.291566,0.490841,
132000,0.335136,0.357,11.2018,0.569558,7.57388,7.53766,3.36153,0.237085,0.297928,0.423587,
133000,0.335474,0.38,11.2043,0.59034,7.57426,7.53835,3.36744,0.176465,0.290065,0.482933,
134000,0.335485,0.337,11.2032,4.11686,7.57398,7.53799,3.36532,1.01629,1.88853,3.51413,
135000,0.335593,0.35,11.2023,1.04717,7.57374,7.53766,3.36365,0.362811,0.53152,0.826084,
136000,0.335713,0.352,11.2039,0.526233,7.57434,7.53833,3.36606,0.182047,0.262917,0.417917,
137000,0.335664,0.329,11.2037,0.605857,7.57422,7.5383,3.36562,0.193261,0.317006,0.478769,
138000,0.335333,0.29,11.2021,0.525435,7.57366,7.53764,3.36298,0.177624,0.258925,0.421295,
139000,0.335223,0.32,11.2014,0.528417,7.57348,7.53749,3.36158,0.192133,0.253521,0.421944,
140000,0.3353,0.346,11.2018,0.588266,7.57352,7.53756,3.36254,0.179511,0.295404,0.475993,
141000,0.335404,0.35,11.2023,2.84147,7.57375,7.53791,3.36293,1.21544,1.44986,2.12004,
142000,0.335366,0.33,11.2025,0.526661,7.57381,7.538,3.36346,0.186877,0.259851,0.418242,
143000,0.335217,0.314,11.2027,0.498683,7.574,7.53815,3.36331,0.155822,0.244995,0.405441,
144000,0.335493,0.375,11.2,0.559174,7.57295,7.53711,3.35901,0.166523,0.284522,0.451656,
145000,0.335228,0.297,11.1997,1.1332,7.57288,7.53707,3.35833,0.337345,0.597472,0.901865,
146000,0.335514,0.377,11.199,4.22589,7.57271,7.53689,3.35672,1.33645,2.12004,3.40257,
147000,0.335626,0.352,11.1977,0.543959,7.57231,7.53652,3.35412,0.174868,0.259924,0.444693,
148000,0.335568,0.327,11.1991,2.50516,7.57275,7.53704,3.35641,0.937034,1.22734,1.97267,
149000,0.335349,0.303,11.2016,0.598022,7.57359,7.5381,3.36058,0.22714,0.319286,0.451768,
150000,0.33518,0.31,11.2028,0.537845,7.57412,7.53868,3.36218,0.212151,0.270851,0.413411,
151000,0.33547,0.379,11.2041,0.57449,7.57465,7.53922,3.36408,0.173401,0.294488,0.461788,
152000,0.335428,0.329,11.2057,0.553478,7.57519,7.53981,3.36678,0.179183,0.272246,0.447341,
153000,0.335627,0.366,11.205,0.546267,7.57482,7.53955,3.36603,0.175653,0.299528,0.421707,
154000,0.335721,0.35,11.2073,0.546881,7.57563,7.54046,3.36984,0.170908,0.259142,0.450239,
155000,0.335413,0.288,11.2077,0.561113,7.57589,7.5406,3.37026,0.194559,0.281662,0.444592,
156000,0.334917,0.258,11.2073,0.545591,7.57582,7.54048,3.36932,0.207109,0.258615,0.433468,
157000,0.335178,0.376,11.2091,0.541649,7.57621,7.54102,3.37322,0.197161,0.252705,0.436637,
158000,0.335165,0.333,11.2101,0.522398,7.57659,7.54144,3.37457,0.156202,0.256754,0.427291,
159000,0.335516,0.391,11.2061,1.10767,7.57506,7.5399,3.3682,0.405257,0.551273,0.871086,
160000,0.335181,0.282,11.2072,0.547206,7.57556,7.54044,3.3696,0.214462,0.273711,0.422519,
161000,0.335634,0.408,11.2085,0.546006,7.57591,7.54102,3.37191,0.19163,0.281853,0.426567,
162000,0.33571,0.348,11.2113,0.553424,7.57681,7.54215,3.37661,0.16301,0.287231,0.444077,
163000,0.335712,0.336,11.2109,0.482433,7.5765,7.54191,3.37643,0.184382,0.230512,0.381588,
164000,0.335787,0.348,11.2113,0.488892,7.57654,7.54199,3.37745,0.142046,0.223482,0.410968,
165000,0.335836,0.344,11.213,4.71205,7.5769,7.54248,3.38127,1.80214,2.46463,3.58905,
166000,0.335777,0.326,11.2131,0.608349,7.57698,7.54263,3.38115,0.213741,0.325034,0.467714,
167000,0.335916,0.359,11.2121,2.84189,7.57649,7.54222,3.37979,0.937936,1.42578,2.27239,
168000,0.33597,0.345,11.2116,0.528291,7.57635,7.54214,3.37861,0.146943,0.247377,0.443062,
169000,0.336272,0.387,11.2152,0.576718,7.57755,7.54356,3.38467,0.210423,0.310504,0.438079,
170000,0.336476,0.371,11.2161,0.554001,7.57765,7.54384,3.3867,0.199488,0.28735,0.429595,
171000,0.336643,0.365,11.2154,1.03521,7.5773,7.54355,3.38596,0.334057,0.534928,0.820926,
172000,0.336657,0.339,11.215,0.540535,7.5772,7.54339,3.38516,0.205009,0.286318,0.410087,
173000,0.336572,0.322,11.2135,0.58775,7.57671,7.54286,3.38236,0.232348,0.296044,0.451467,
174000,0.336408,0.308,11.2118,0.570705,7.57597,7.54216,3.38015,0.177053,0.275208,0.467565,
175000,0.336657,0.38,11.213,1.04958,7.57639,7.5427,3.38186,0.387338,0.486183,0.845699,
176000,0.336773,0.357,11.2153,0.63526,7.57731,7.54365,3.38546,0.214994,0.326967,0.500425,
177000,0.337017,0.38,11.2183,0.567649,7.57815,7.54462,3.39125,0.187556,0.277861,0.458084,
178000,0.337174,0.365,11.2176,2.65476,7.57784,7.54437,3.39023,0.872589,1.29995,2.14394,
179000,0.337184,0.339,11.2197,1.10841,7.57854,7.54518,3.39379,0.42821,0.550757,0.861318,
180000,0.337311,0.36,11.2209,0.514073,7.57888,7.54564,3.39604,0.128797,0.248895,0.430968,
181000,0.337387,0.351,11.2221,0.599707,7.57928,7.54619,3.39794,0.244731,0.307896,0.45272,
182000,0.337604,0.377,11.2225,0.574307,7.57934,7.54653,3.39817,0.216529,0.292801,0.444085,
183000,0.337743,0.363,11.2251,1.10076,7.57995,7.54747,3.40332,0.314881,0.543049,0.904218,
184000,0.337745,0.338,11.2282,0.532726,7.58112,7.54896,3.40783,0.203602,0.266558,0.413872,
185000,0.337665,0.323,11.2291,0.63554,7.58132,7.54929,3.40964,0.268293,0.345139,0.461312,
186000,0.337699,0.344,11.2332,1.16552,7.58256,7.55088,3.4168,0.431489,0.545696,0.935131,
187000,0.337658,0.33,11.2334,0.631596,7.58255,7.55088,3.41722,0.202393,0.28892,0.523904,
188000,0.337548,0.317,11.2354,0.603845,7.58335,7.5519,3.41997,0.215459,0.28701,0.485624,
189000,0.337418,0.313,11.2352,0.57016,7.58314,7.55178,3.42004,0.188389,0.255323,0.473711,
190000,0.337726,0.396,11.2344,0.575353,7.58286,7.55141,3.41873,0.218428,0.281345,0.451846,
191000,0.337812,0.354,11.2324,0.576466,7.58211,7.55051,3.41588,0.183329,0.28786,0.464586,
192000,0.337568,0.291,11.2348,0.599365,7.58269,7.55128,3.42065,0.260831,0.300379,0.448307,
193000,0.337508,0.326,11.2412,1.09594,7.58476,7.55376,3.4318,0.357073,0.481126,0.917664,
194000,0.337701,0.375,11.2393,2.77176,7.5841,7.55297,3.42869,1.00562,1.36841,2.19062,
195000,0.338,0.396,11.24,0.593216,7.58459,7.55354,3.42851,0.205238,0.268986,0.487267,
196000,0.337827,0.304,11.2397,0.592227,7.58455,7.55339,3.42801,0.210495,0.296369,0.467537,
197000,0.337904,0.353,11.2423,0.525494,7.58541,7.55444,3.43246,0.168206,0.245178,0.433289,
198000,0.337914,0.34,11.2415,0.656043,7.5851,7.55411,3.43117,0.220604,0.327125,0.524133,
199000,0.337945,0.344,11.2447,0.70514,7.58594,7.55526,3.43719,0.286662,0.404215,0.501656,
200000,0.337805,0.31,11.2464,0.618363,7.58651,7.55594,3.44002,0.210773,0.336772,0.473848,
201000,0.337816,0.34,11.2442,1.31224,7.58602,7.55529,3.43533,0.554059,0.682095,0.974541,
202000,0.337807,0.336,11.2485,0.633685,7.58744,7.55709,3.44246,0.207694,0.302481,0.516648,
203000,0.337611,0.298,11.248,0.636693,7.58754,7.55708,3.44066,0.25831,0.36384,0.454174,
